         183759 function calls (179708 primitive calls) in 0.294 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 typing.py:1549(__init_subclass__)
       38    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        1    0.000    0.000    0.000    0.000 request.py:1502(GetKeyboardMapping)
        1    0.000    0.000    0.002    0.002 _npyio_impl.py:1(<module>)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 event.py:123(GraphicsExpose)
        6    0.000    0.000    0.000    0.000 numeric.py:2690(extend_all)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      246    0.000    0.000    0.000    0.000 typing.py:1278(__eq__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 TiffTags.py:1(<module>)
        2    0.000    0.000    0.048    0.024 display.py:1(<module>)
       23    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      120    0.000    0.000    0.000    0.000 rq.py:151(__init__)
      245    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       75    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        7    0.000    0.000    0.006    0.001 enum.py:536(_convert_)
        2    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.003    0.003 rq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 drawable.py:312(Window)
      339    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 request.py:393(UngrabPointer)
       41    0.000    0.000    0.001    0.000 typing.py:1083(copy_with)
        1    0.000    0.000    0.000    0.000 request.py:1273(AllocColorPlanes)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1905(__init__)
       30    0.000    0.000    0.000    0.000 subprocess.py:1791(<genexpr>)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
       78    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:665(format)
      203    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
      138    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.005    0.002 subprocess.py:758(__init__)
        1    0.000    0.000    0.003    0.003 ExifTags.py:21(Base)
        1    0.000    0.000    0.033    0.033 _index_tricks_impl.py:1(<module>)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1488(__init__)
        3    0.000    0.000    0.000    0.000 subprocess.py:1227(_close_pipe_fds)
        9    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       46    0.000    0.000    0.000    0.000 rq.py:211(__init__)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       20    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
        1    0.000    0.000    0.011    0.011 platform.py:1(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        1    0.000    0.000    0.001    0.001 __init__.py:1626(handle)
      356    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       16    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:770(create_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 request.py:1091(PolyText8)
       78    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       10    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.000    0.000 request.py:1702(SetPointerMapping)
    20/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.read}
